Date,S&P Adj Close,S&P Volume,S&P return
1-Sep-99,"1,282.71","16,438,700,000",-0.028967267
1-Aug-99,"1,320.41","15,818,550,000",-0.006273778
1-Jul-99,"1,328.72","15,332,930,000",-0.032570815
1-Jun-99,"1,372.71","16,079,170,000",0.05300824
1-May-99,"1,301.84","15,880,260,000",-0.025287466
1-Apr-99,"1,335.18","18,523,200,000",0.037241816
1-Mar-99,"1,286.37","18,002,500,000",0.038060601
1-Feb-99,"1,238.33","14,555,860,000",-0.032815091
1-Jan-99,"1,279.64","16,213,500,000",0.040190831
1-Dec-98,"1,229.23","15,181,450,000",0.054843528
1-Nov-98,"1,163.63","13,451,280,000",0.057444072
1-Oct-98,"1,098.67","18,001,650,000",0.077233407
1-Sep-98,"1,017.01","16,714,080,000",0.060526299
1-Aug-98,957.28,"15,071,550,000",-0.15758607
1-Jul-98,"1,120.67","14,194,800,000",-0.011683381
1-Jun-98,"1,133.84","13,551,970,000",0.038680395
1-May-98,"1,090.82","11,477,140,000",-0.019005643
1-Apr-98,"1,111.75","13,656,060,000",0.009035526
1-Mar-98,"1,101.75","13,719,590,000",0.04873843
1-Feb-98,"1,049.34","11,656,550,000",0.068078429
1-Jan-98,980.28,"12,733,830,000",0.010098973
1-Dec-97,970.43,"11,958,880,000",0.015609171
1-Nov-97,955.4,"10,173,620,000",0.043621422
1-Oct-97,914.62,"14,017,260,000",-0.035086042
1-Sep-97,947.28,"11,383,000,000",0.051789019
1-Aug-97,899.47,"10,606,100,000",-0.059182865
1-Jul-97,954.31,"11,958,120,000",0.075242742
1-Jun-97,885.14,"10,857,950,000",0.042535055
1-May-97,848.28,"10,106,650,000",0.056925444
1-Apr-97,801.34,"10,454,880,000",0.056763565
1-Mar-97,757.12,"10,120,760,000",-0.04354862
1-Feb-97,790.82,"9,715,930,000",0.005910048
1-Jan-97,786.16,"11,635,830,000",0.059510648
1-Dec-96,740.74,"9,089,170,000",-0.021739987
1-Nov-96,757.02,"8,763,850,000",0.070808965
1-Oct-96,705.27,"9,703,670,000",0.025766182
1-Sep-96,687.33,"8,064,070,000",0.052785302
1-Aug-96,651.99,"7,380,320,000",0.018639176
1-Jul-96,639.95,"8,849,860,000",-0.046827521
1-Jun-96,670.63,"7,930,840,000",0.002254153
1-May-96,669.12,"8,921,140,000",0.02259616
1-Apr-96,654.17,"8,875,580,000",0.013342046
1-Mar-96,645.5,"8,984,200,000",0.007885385
1-Feb-96,640.43,"8,749,960,000",0.006909816
1-Jan-96,636.02,"9,188,050,000",0.032096689
1-Dec-95,615.93,"7,697,540,000",0.017293479
1-Nov-95,605.37,"7,602,150,000",0.040228869
1-Oct-95,581.5,"8,043,320,000",-0.004991819
1-Sep-95,584.41,"7,052,830,000",0.039314487
1-Aug-95,561.88,"7,146,620,000",-0.000320302
1-Jul-95,562.06,"7,307,960,000",0.031281632
1-Jun-95,544.75,"7,555,650,000",0.021055362
1-May-95,533.4,"7,555,690,000",0.035667976
1-Apr-95,514.71,"6,307,030,000",0.027576544
1-Mar-95,500.71,"7,792,400,000",0.026962467
1-Feb-95,487.39,"6,330,100,000",0.035438711
1-Jan-95,470.42,"6,852,060,000",0.02398764
1-Dec-94,459.27,"6,351,530,000",0.012224127
1-Nov-94,453.69,"6,251,240,000",-0.040306091
1-Oct-94,472.35,"6,344,700,000",0.020619728
1-Sep-94,462.71,"6,152,870,000",-0.027245343
1-Aug-94,475.49,"6,398,750,000",0.036909143
1-Jul-94,458.26,"4,980,100,000",0.031004223
1-Jun-94,444.27,"5,852,670,000",-0.027156214
1-May-94,456.5,"5,675,970,000",0.012320937
1-Apr-94,450.91,"5,735,010,000",0.011464639
1-Mar-94,445.77,"7,225,010,000",-0.046825875
1-Feb-94,467.14,"5,853,100,000",-0.030505659
1-Jan-94,481.61,"6,627,390,000",0.031983824
1-Dec-93,466.45,"5,791,210,000",0.010040591
1-Nov-93,461.79,"5,876,610,000",-0.01299474
1-Oct-93,467.83,"5,940,460,000",0.019207289
1-Sep-93,458.93,"5,552,720,000",-0.010038133
1-Aug-93,463.56,"5,506,200,000",0.033852458
1-Jul-93,448.13,"5,308,530,000",-0.005341299
1-Jun-93,450.53,"5,544,400,000",0.000754952
1-May-93,450.19,"5,108,640,000",0.022463264
1-Apr-93,440.19,"5,853,170,000",-0.025745373
1-Mar-93,451.67,"5,766,950,000",0.018524635
1-Feb-93,443.38,"5,442,450,000",0.010429042
1-Jan-93,438.78,"5,280,850,000",0.007021264
1-Dec-92,435.71,"4,876,150,000",0.010057059
1-Nov-92,431.35,"4,148,770,000",0.029812921
1-Oct-92,418.68,"4,507,010,000",0.002104056
1-Sep-92,417.8,"4,023,850,000",0.009064414
1-Aug-92,414.03,"3,653,820,000",0.016024772
1-Jul-92,424.21,"4,265,220,000",
